rank,Stadium,Capacity,City,Country,Home Team(s)
1,Rungrado May Day Stadium,"150,000",Pyongyang, North Korea,North Korea national football team
2,Salt Lake Stadium,"120,000",Kolkata, India,"East Bengal Club, Mohammedan SC, Mohun Bagan AC,  India national football team"
3,Azteca,"105,000",Mexico City, Mexico,"América, Mexico national football team"
4,Melbourne Cricket Ground,"103,000",Melbourne, Australia,Australia national football team
5,Azadi Stadium,"100,000",Tehran, Iran,"Iran national football team, Esteghlal FC, Persepolis"
6,Bukit Jalil National Stadium,"100,000",Kuala Lumpur, Malaysia,Malaysia national football team
7,Camp Nou,"98,772",Barcelona, Spain,F.C. Barcelona
8,Maracanã,"96,000",Rio de Janeiro, Brazil,"Flamengo, Fluminense, Botafogo and Vasco da Gama"
9,Beijing National Stadium,"91,000",Beijing, China,2008 Olympics football tournament final
10,Wembley Stadium,"90,000",London, England,England national football team
11,Estadio Monumental Isidro Romero Carbo,"89,930",Guayaquil,Ecuador,Barcelona Sporting Club
12,Bung Karno Stadium,"88,306",Jakarta, Indonesia,Indonesia national football team
13,ANZ Stadium,"83,500",Sydney, Australia,Australia
14,Olimpiyskiy,"83,450",Kyiv, Ukraine,"Ukraine, Dynamo Kyiv, Arsenal Kyiv"
15,Stadio Giuseppe Meazza,"82,955",Milan, Italy,"A.C. Milan, Internazionale Milano"
16,Croke Park,"82,300",Dublin, Ireland,"Ireland, Gaelic Athletic Association,"
17,Stadio Olimpico,"82,300",Rome, Italy,"A.S. Roma, S.S. Lazio"
18,Atatürk Olympic Stadium,"81,283",Istanbul, Turkey,"İstanbul Büyükşehir Belediyespor, Galatasaray S.K., Turkey national football team"
19,Signal Iduna Park,"81,264",Dortmund, Germany,Borussia Dortmund
20,Shah Alam Stadium,"80,372",Shah Alam, Malaysia,Selangor FA
21,Estadio Santiago Bernabéu,"80,354",Madrid, Spain,Real Madrid
22,Giants Stadium (The Meadowlands),"80,242",East Rutherford, USA,"New York Giants, New York Jets, New York Red Bulls"
23,"Estadio Monumental ""U""","80,093",Lima, Peru,Universitario de Deportes
24,Guangdong Olympic Stadium,"80,012",Guangzhou, China,2008 Olympics football tournament
25,Borg El Arab Stadium,"80,000",Alexandria, Egypt,Egypt
26,Estádio do Morumbi,"80,000",São Paulo, Brazil,São Paulo F.C.
27,June 11 Stadium,"80,000",Tripoli, Libya,"Libya national football team, Al-Ahly, Al-Ittihad, Al Madina Tripoli"
28,Stade des Martyrs,"80,000",Kinshasa,DR Congo,DR Congo national football team
29,Shanghai Stadium,"80,000",Shanghai, China,2008 Olympics football tournament
30,Stade de France,"80,000",Saint-Denis, France,France
31,Arrowhead Stadium,"79,451",Kansas City, USA,"Kansas City Chiefs, Sporting Kansas City"
32,Luzhniki Stadium,"78,360",Moscow, Russia,"Torpedo Moscow, Spartak Moscow"
33,Stadio San Paolo,"78,210",Naples, Italy,Napoli
34,Jawaharlal Nehru Stadium,"78,000",New Delhi, India,Some I-League matches
35,Soccer City,"78,000",Johannesburg, South Africa,South Africa national football team
36,Centenario Stadium,"76,609",Montevideo, Uruguay,Uruguay national football team
37,Old Trafford,"76,212",Manchester, England,Manchester United
38,Aleppo International Stadium,"75,000",Aleppo, Syria,Al-Ittihad
39,Millennium Stadium,"74,500",Cardiff, Wales,Wales national football team
40,Olympiastadion,"74,228",Berlin, Germany,Hertha BSC Berlin
41,Cairo International Stadium,"74,100",Cairo, Egypt,"Egypt, Al-Ahly, El Zamalek"
42,International Stadium Yokohama,"72,327",Yokohama, Japan,Yokohama F. Marinos
43,Estádio Parque do Sabiá,"72,000",Uberlândia, Brazil,Uberlândia Esporte Clube
44,Mineirão,"71,860",Belo Horizonte, Brazil,"Atlético Mineiro, Cruzeiro E.C."
45,Athens Olympic Stadium,"71,030",Athens,Greece,Greece national football team
46,Yadegar-e-Emam Stadium,"71,000",Tabriz, Iran,some Teraktor Sazi matches
