rank,Stadium,Capacity,City,Country,Home Team(s),location
1,Rungrado May Day Stadium,150000,Pyongyang, North Korea,North Korea national football team,
2,Salt Lake Stadium,120000,Kolkata, India,"East Bengal Club, Mohammedan SC, Mohun Bagan AC,  India national football team","[22.5731115, 88.4030891]"
3,Azteca,105000,Mexico City, Mexico,"América, Mexico national football team","[18.8445146, -99.2354456]"
4,Melbourne Cricket Ground,103000,Melbourne, Australia,Australia national football team,"[-37.819909, 144.9832250067]"
5,Azadi Stadium,100000,Tehran, Iran,"Iran national football team, Esteghlal FC, Persepolis","[35.7244962, 51.2755487216]"
6,Bukit Jalil National Stadium,100000,Kuala Lumpur, Malaysia,Malaysia national football team,"[3.0546755, 101.6913690326]"
7,Camp Nou,98772,Barcelona, Spain,F.C. Barcelona,"[41.3808046, 2.1158872]"
8,Maracanã,96000,Rio de Janeiro, Brazil,"Flamengo, Fluminense, Botafogo and Vasco da Gama","[-22.91216195, -43.23118606]"
9,Beijing National Stadium,91000,Beijing, China,2008 Olympics football tournament final,"[40.0160281, 116.3713841339]"
10,Wembley Stadium,90000,London, England,England national football team,"[51.55606945, -0.2796033938]"
11,Estadio Monumental Isidro Romero Carbo,89930,Guayaquil,Ecuador,Barcelona Sporting Club,"[-2.18582235, -79.9249700465]"
12,Bung Karno Stadium,88306,Jakarta, Indonesia,Indonesia national football team,"[-6.21853605, 106.8026353197]"
13,ANZ Stadium,83500,Sydney, Australia,Australia,"[-33.8471082, 151.0633848447]"
14,Olimpiyskiy,83450,Kyiv, Ukraine,"Ukraine, Dynamo Kyiv, Arsenal Kyiv","[50.43349695, 30.5213486106]"
15,Stadio Giuseppe Meazza,82955,Milan, Italy,"A.C. Milan, Internazionale Milano","[45.47820035, 9.1239639933]"
16,Croke Park,82300,Dublin, Ireland,"Ireland, Gaelic Athletic Association,","[53.36035755, -6.2509811826]"
17,Stadio Olimpico,82300,Rome, Italy,"A.S. Roma, S.S. Lazio","[41.93394235, 12.4547704971]"
18,Atatürk Olympic Stadium,81283,Istanbul, Turkey,"İstanbul Büyükşehir Belediyespor, Galatasaray S.K., Turkey national football team","[41.0744732, 28.7656610517]"
19,Signal Iduna Park,81264,Dortmund, Germany,Borussia Dortmund,"[51.4924922, 7.4518548509]"
20,Shah Alam Stadium,80372,Shah Alam, Malaysia,Selangor FA,"[3.0838218, 101.5456258304]"
21,Estadio Santiago Bernabéu,80354,Madrid, Spain,Real Madrid,"[40.4530225, -3.6874219587]"
22,Giants Stadium (The Meadowlands),80242,East Rutherford, USA,"New York Giants, New York Jets, New York Red Bulls","[40.833989, -74.0970865]"
23,"Estadio Monumental ""U""",80093,Lima, Peru,Universitario de Deportes,"[-12.0621065, -77.0365256]"
24,Guangdong Olympic Stadium,80012,Guangzhou, China,2008 Olympics football tournament,"[23.13803625, 113.403429629]"
25,Borg El Arab Stadium,80000,Alexandria, Egypt,Egypt,"[30.9994696, 29.7294321536]"
26,Estádio do Morumbi,80000,São Paulo, Brazil,São Paulo F.C.,"[-23.60005845, -46.7201583473]"
27,June 11 Stadium,80000,Tripoli, Libya,"Libya national football team, Al-Ahly, Al-Ittihad, Al Madina Tripoli","[32.85990575, 13.1359000473]"
28,Stade des Martyrs,80000,Kinshasa,DR Congo,DR Congo national football team,"[-5.92806305, 22.3096029605]"
29,Shanghai Stadium,80000,Shanghai, China,2008 Olympics football tournament,"[31.1832135, 121.4373206895]"
30,Stade de France,80000,Saint-Denis, France,France,"[48.92447255, 2.3601325227]"
31,Arrowhead Stadium,79451,Kansas City, USA,"Kansas City Chiefs, Sporting Kansas City","[39.0751128, -78.191289]"
32,Luzhniki Stadium,78360,Moscow, Russia,"Torpedo Moscow, Spartak Moscow","[55.7157445, 37.5537672987]"
33,Stadio San Paolo,78210,Naples, Italy,Napoli,"[45.43574845, 8.5958371184]"
34,Jawaharlal Nehru Stadium,78000,New Delhi, India,Some I-League matches,"[28.58337705, 77.2335404029]"
35,Soccer City,78000,Johannesburg, South Africa,South Africa national football team,"[-26.23470625, 27.9826439004]"
36,Centenario Stadium,76609,Montevideo, Uruguay,Uruguay national football team,"[-34.89453925, -56.1526840941]"
37,Old Trafford,76212,Manchester, England,Manchester United,"[53.46310955, -2.2913864851]"
38,Aleppo International Stadium,75000,Aleppo, Syria,Al-Ittihad,"[36.1849318, 37.1176418366]"
39,Millennium Stadium,74500,Cardiff, Wales,Wales national football team,"[51.4782493, -3.1836667007]"
40,Olympiastadion,74228,Berlin, Germany,Hertha BSC Berlin,"[52.5145846, 13.2398144178]"
41,Cairo International Stadium,74100,Cairo, Egypt,"Egypt, Al-Ahly, El Zamalek","[30.0691151, 31.3122063805]"
42,International Stadium Yokohama,72327,Yokohama, Japan,Yokohama F. Marinos,"[35.5099882, 139.6063825439]"
43,Estádio Parque do Sabiá,72000,Uberlândia, Brazil,Uberlândia Esporte Clube,"[-18.91308715, -48.2329942146]"
44,Mineirão,71860,Belo Horizonte, Brazil,"Atlético Mineiro, Cruzeiro E.C.","[-19.8659115, -43.9710434043]"
45,Athens Olympic Stadium,71030,Athens,Greece,Greece national football team,"[37.9755648, 23.7348324]"
46,Yadegar-e-Emam Stadium,71000,Tabriz, Iran,some Teraktor Sazi matches,"[38.0738612, 46.2978789]"
47,Castelão,70000,São Luís, Brazil,"Sampaio Corrêa, Moto Club, Maranhão","[-2.54875695, -44.2609513387]"
48,Kim Il-sung Stadium,70000,Pyongyang, North Korea,Pyongyang City Sports Group,"[39.04385845, 125.7577377209]"
49,Allianz Arena,69901,Munich, Germany,"Bayern Munich, 1860 Munich","[48.21880845, 11.6246637626]"
50,Castelão,69000,Fortaleza, Brazil,"Ceará, Fortaleza","[-3.7304512, -38.5217989]"
51,Hrazdan Stadium,69000,Yerevan, Armenia,"FC Ararat Yerevan, FC Kilikia Yerevan","[40.18036705, 44.4946722922]"
52,Stadium Puskás Ferenc,68976,Budapest, Hungary,Hungary national football team,"[47.50310895, 19.0980508921]"
53,Gillette Stadium,68756,Foxborough, USA,"New England Patriots, New England Revolution","[42.0912526, -71.2644646106]"
54,Stadio delle Alpi,67229,Turin, Italy,"Juventus F.C., Torino F.C. 1906 (part-time)","[45.0677551, 7.6824892]"
55,King Fahd International Stadium,67000,Riyadh,Saudi Arabia,"Al Hilal, Al Shabab","[24.7885806, 46.8391448601]"
56,Qwest Field,67000,Seattle, USA,"Seattle Seahawks, Seattle Sounders","[47.5953459, -122.331644312]"
57,Estadio Nacional de Chile,66650,Santiago, Chile,"Chile national football team, Universidad de Chile","[-33.4643563, -70.612147]"
58,Workers Stadium,66161,Beijing,China,"2008 Olympics football tournament, some Beijing Guoan matches","[39.92951015, 116.4409951805]"
59,Estádio Fonte Nova,66080,Salvador, Brazil,Esporte Clube Bahia,"[-12.97888575, -38.503482173]"
60,Seoul World Cup Stadium,66080,Seoul, South Korea,FC Seoul,"[37.5683021, 126.8972476647]"
61,Stade 5 Juillet 1962,66000,Algiers, Algeria,MC Algiers,"[36.51641205, 2.4086593818]"
62,Daegu World Cup Stadium,65754,Daegu, South Korea,Daegu FC,"[35.8713, 128.6018]"
